label,value,standard_error,expression,maximum,minimum,non_negative,vary
CF9212rates.ToWLRCFromWLRP1,0.005378420605505348,None,$rates.ToWLRCFromWLRP1,,,False,False
CF9212rates.ToWLRP1FromWLRC,0.9,None,$rates.ToWLRP1FromWLRC,,,False,False
CF9212rates.gFRLRP1C_gFRLRCC,2.0,None,$rates.gFRLRP1C_gFRLRCC,,,False,False
CF9212rates.ToFRLRCFromFRLRP1,0.04060058497098381,None,$rates.ToFRLRCFromFRLRP1,,,False,False
CF9212rates.ToFRLRP1FromFRLRC,0.3,None,$rates.ToFRLRP1FromFRLRC,,,False,False
CF9212rates.gChlf2C_gFRLRCC,1.03008831,None,$CF9212rates.gChlf2C-$CF9212rates.gFRLRCC,,,False,False
CF9212rates.ToFRLRCFromChlf2,0.008482573519903785,0.00703061,$rates.ToFRLRCFromChlf2,,,False,False
CF9212rates.ToChlf2FromFRLRC,0.023762345236979027,None,$CF9212rates.ToFRLRCFromChlf2*exp($CF9212rates.gChlf2C_gFRLRCC),,,False,False
CF9212rates.gChlf1C_gFRLRCC,0.4200772210000001,None,$CF9212rates.gChlf1C-$CF9212rates.gFRLRCC,,,False,False
CF9212rates.ToFRLRCFromChlf1,0.006469095009092805,0.011439694,$rates.ToFRLRCFromChlf1,,,False,False
CF9212rates.ToChlf1FromFRLRC,0.009846474228713127,None,$CF9212rates.ToFRLRCFromChlf1*exp($CF9212rates.gChlf1C_gFRLRCC),,,False,False
CF9212rates.gChlf2C_gChlf1C,0.6100110889999999,None,$CF9212rates.gChlf2C-$CF9212rates.gChlf1C,,,False,False
CF9212rates.ToChlf1FromChlf2,0.001624365,0.056650453,None,,,False,False
CF9212rates.ToChlf2FromChlf1,0.002989565500189959,None,$CF9212rates.ToChlf1FromChlf2*exp($CF9212rates.gChlf2C_gChlf1C),,,False,False
CF9212scale.FRLtr1,4.317011047489877,0.004897450834648349,None,,,False,True
CF9212scale.FRLtr2,10.976505212610384,0.01095571042333608,None,,,False,True
CF9212scale.FRLtr4,36.34505651321899,0.034293272012936235,None,,,False,True
CF9212scale.WLtr1,7.084585366645698,0.008786864240390196,None,,,False,True
CF9212scale.WLtr2,15.561755207639738,0.017342299303699262,None,,,False,True
CF9212scalem.1,1.0,None,None,,,False,False
CF9212scalem.WLtr1a,0.04565971918365707,0.0018089515612549755,None,,,False,True
CF9212scalem.WLtr2a,0.051,None,None,,,False,False
CF9212scalem.FRLtr1a,0.0752727450319645,0.002543359004230714,None,,,False,True
CF9212scalem.FRLtr1f,6.74e-176,206760.8162,None,,,False,False
CF9212scalem.FRLtr2a,-0.0011190898730627737,0.0009267683878581386,None,,,False,True
CF9212scalem.FRLtr2f,6.04e-57,644240.9889,None,,,False,False
CF9212scalem.FRLtr4a,0.026860466885628986,0.0003969965067957195,None,,,False,True
CF9212scalem.FRLtr4f,0.019706072655017906,0.0001415583653201773,None,,,False,True
CF9212irfWLtr1.center,56.3294601,None,None,,,False,False
CF9212irfWLtr1.width1,2.05953932,None,None,,,False,False
CF9212irfWLtr1.width2,3.81526017,None,None,,,False,False
CF9212irfWLtr1.scale1,1.0,None,None,,,False,False
CF9212irfWLtr1.scale2,0.387194037,None,None,,,False,False
CF9212irfWLtr2.center,56.1699219,None,None,,,False,False
CF9212irfWLtr2.width1,2.68295074,None,None,,,False,False
CF9212irfWLtr2.width2,5.52160358,None,None,,,False,False
CF9212irfWLtr2.scale1,1.0,None,None,,,False,False
CF9212irfWLtr2.scale2,0.252984315,None,None,,,False,False
CF9212irfFRLtr1.center,56.3552208,None,None,,,False,False
CF9212irfFRLtr1.width1,1.87171531,None,None,,,False,False
CF9212irfFRLtr1.width2,4.13698006,None,None,,,False,False
CF9212irfFRLtr1.scale1,1.0,None,None,,,False,False
CF9212irfFRLtr1.scale2,0.353333116,None,None,,,False,False
CF9212irfFRLtr2.center,56.9304581,None,None,,,False,False
CF9212irfFRLtr2.width1,2.71037221,None,None,,,False,False
CF9212irfFRLtr2.width2,4.51974392,None,None,,,False,False
CF9212irfFRLtr2.scale1,1.0,None,None,,,False,False
CF9212irfFRLtr2.scale2,0.47506395,None,None,,,False,False
CF9212irfFRLtr4.center,216.553024,None,None,,,False,False
CF9212irfFRLtr4.width1,7.58270884,None,None,,,False,False
CF9212irfFRLtr4.width2,22.7034378,None,None,,,False,False
CF9212irfFRLtr4.scale1,1.0,None,None,,,False,False
CF9212irfFRLtr4.scale2,0.251508564,None,None,,,False,False
xinput.BulkFRL,70.0,None,None,,,False,False
xinput.Bulkratio,1.1142857142857143,None,$input.Bulk/$xinput.BulkFRL,,,False,False
xrates.gBulkFRL_gBulkWL,0.10821358464023279,None,ln($xinput.Bulkratio),,,False,False
xrates.gRed1C,-0.8196117902475417,0.005117796,$rates.gRed1C-$xrates.gBulkFRL_gBulkWL,,,False,False
xrates.gRed2C,-0.19097200128157804,0.003981164,$rates.gRed2C-$xrates.gBulkFRL_gBulkWL,,,False,False
xrates.ToBulkFromRed1,0.37013097308571424,0.004241734,$rates.ToBulkFromRed1*$xinput.Bulkratio,,,False,False
xrates.ToRed1FromBulk,0.16308069408884387,None,$rates.ToRed1FromBulk,,,False,False
xrates.ToBulkFromRed2,0.058317371914285716,0.007640474,$rates.ToBulkFromRed2*$xinput.Bulkratio,,,False,False
xrates.ToRed2FromBulk,0.048179230331544094,None,$rates.ToRed2FromBulk,,,False,False
xCT7203rates.gRed1C,-0.5109731381824549,0.005117796,$CT7203rates.gRed1C-$xrates.gBulkFRL_gBulkWL,,,False,False
xCT7203rates.gRed2C,-0.4172373553220822,0.003981164,$CT7203rates.gRed2C-$xrates.gBulkFRL_gBulkWL,,,False,False
xCT7203rates.ToBulkFromRed1,0.37013097308571424,0.004241734,$CT7203rates.ToBulkFromRed1*$xinput.Bulkratio,,,False,False
xCT7203rates.ToRed1FromBulk,0.22204582647487459,None,$CT7203rates.ToRed1FromBulk,,,False,False
xCT7203rates.ToBulkFromRed2,0.058317371914285716,0.007640474,$CT7203rates.ToBulkFromRed2*$xinput.Bulkratio,,,False,False
xCT7203rates.ToRed2FromBulk,0.03842324704307723,None,$CT7203rates.ToRed2FromBulk,,,False,False
xCF9212rates.gRed1C,-1.2830483475755996,0.005117796,$CF9212rates.gRed1C-$xrates.gBulkFRL_gBulkWL,,,False,False
